Tool Handler,User Intent,Dynamic Input (Added to Common Prompt),Exact LLM Output Expected
analyzeCabinState,camera (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>analyzeCabinState()</TOOL>
- <TOOL>enhanceNiceEvening()</TOOL>

[System Context: Speed=85mph, DriverTemp=65F, PassTemp=65F, SeatHeat=1, AC=OFF, Fan=1, HVAC=ON | DriverMood=Neutral / Focused, Occupants=4, Time=Evening, Media=Unknown]

User: Can we adjust the camera?", <TOOL>analyzeCabinState()</TOOL>
analyzeCabinState,camera (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>analyzeCabinState()</TOOL>
- <TOOL>turnOffAC()</TOOL>

[System Context: Speed=30mph, DriverTemp=75F, PassTemp=75F, SeatHeat=3, AC=ON, Fan=3, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=1, Time=Evening, Media=Paused]

User: What about the camera?"," By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>analyzeCabinState()</TOOL>"
analyzeCabinState,camera (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>analyzeCabinState()</TOOL>
- <TOOL>adjustBgmForSituation()</TOOL>

[System Context: Speed=0mph, DriverTemp=80F, PassTemp=80F, SeatHeat=1, AC=OFF, Fan=4, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=3, Time=Afternoon, Media=Playing]

User: I need to check the camera.",<TOOL>analyzeCabinState()</TOOL>
setTemperature,temperature (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>setTemperature(VAL)</TOOL>
- <TOOL>optimizeEnergyForRange()</TOOL>

[System Context: Speed=0mph, DriverTemp=75F, PassTemp=75F, SeatHeat=2, AC=OFF, Fan=5, HVAC=ON | DriverMood=Neutral / Focused, Occupants=1, Time=Night, Media=Paused]

User: What about the temperature?",Good evening. I've adjusted the cabin temperature. <TOOL>setTemperature(72)</TOOL>
setTemperature,temperature (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>setTemperature(VAL)</TOOL>
- <TOOL>turnOnAutoClimate()</TOOL>

[System Context: Speed=65mph, DriverTemp=65F, PassTemp=65F, SeatHeat=2, AC=OFF, Fan=3, HVAC=ON | DriverMood=Tired / Yawning, Occupants=3, Time=Afternoon, Media=Unknown]

User: I need to check the temperature.","I've adjusted the cabin temperature. I'll make sure everyone in the back is comfortable too. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>setTemperature(72)</TOOL>"
setTemperature,temperature (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>setTemperature(VAL)</TOOL>
- <TOOL>setDriverTemperature(VAL)</TOOL>

[System Context: Speed=85mph, DriverTemp=65F, PassTemp=65F, SeatHeat=3, AC=ON, Fan=2, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=2, Time=Night, Media=Playing]

User: I need to check the temperature.",<TOOL>setTemperature(72)</TOOL>
increaseTemperature,increase temperature (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>increaseTemperature(zone)</TOOL>
- <TOOL>prepareForElderlyPassengers()</TOOL>

[System Context: Speed=30mph, DriverTemp=60F, PassTemp=60F, SeatHeat=3, AC=ON, Fan=4, HVAC=ON | DriverMood=Neutral / Focused, Occupants=1, Time=Afternoon, Media=Playing]

User: Hey, increase temperature.",I'm warming it up for you! <TOOL>increaseTemperature(all)</TOOL>
increaseTemperature,increase temperature (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>increaseTemperature(zone)</TOOL>
- <TOOL>closeAllWindows()</TOOL>

[System Context: Speed=30mph, DriverTemp=80F, PassTemp=80F, SeatHeat=2, AC=ON, Fan=2, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=1, Time=Evening, Media=Playing]

User: Please increase temperature.","I'm warming it up for you! I'm turning on the climate system for you. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>increaseTemperature(all)</TOOL>"
increaseTemperature,increase temperature (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>increaseTemperature(zone)</TOOL>
- <TOOL>checkTripReadiness()</TOOL>

[System Context: Speed=30mph, DriverTemp=80F, PassTemp=80F, SeatHeat=2, AC=OFF, Fan=2, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=1, Time=Afternoon, Media=Paused]

User: Can you increase temperature?",<TOOL>increaseTemperature(all)</TOOL>
decreaseTemperature,decrease temperature (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>decreaseTemperature(zone)</TOOL>
- <TOOL>turnOffAutoClimate()</TOOL>

[System Context: Speed=65mph, DriverTemp=65F, PassTemp=65F, SeatHeat=1, AC=OFF, Fan=2, HVAC=ON | DriverMood=Neutral / Focused, Occupants=4, Time=Afternoon, Media=Unknown]

User: Hey, decrease temperature.",Cooling it down — you should feel better soon. I'll make sure everyone in the back is comfortable too. <TOOL>decreaseTemperature(all)</TOOL>
