ID,User Intent Name,Natural Phrasings,Intent Type,Available Tools,Exact XML Signature,Allowed Parameters,Tool Type (Hardware/Middleware),Requires Confirmation?,Confirmation Protocol & Tool Timing Rule,When To Use Tool,When NOT To Use Tool,Required Vehicle Context,Expected Response Tone,Follow-up Behavior,Turn 1 Question (NO TOOL TAG),Turn 2 Confirmation Execution (WITH TOOL TAG),Turn 2 Decline Behavior,Negative Examples,Evaluation Test Cases
1,climate_cold,I'm feeling cold. | I'm freezing | It's chilly in here | AC is too cold | Turn up the heat,discomfort,"increaseTemperature, setSeatHeater",<TOOL>increaseTemperature(ZONE)</TOOL>,"all, driver, passenger",middleware,NO,Immediate action. Execute tool in same turn.,Only when climate/temp tool is listed in available tools,Tool unlisted or driver asks for window roll down instead,"DriverTemp, AC, Fan, SeatHeat, DriverMood","Warm, reassuring, empathetic",Can follow up with seat heater option if still cold,N/A (Immediate execution),"Sure, increasing the temperature. <TOOL>increaseTemperature(all)</TOOL>",N/A,Turn off the engine. | Open the sunroof completely.,"My hands are icicles | Brrr, it is freezing | Make it toastier"
2,climate_hot,It's too hot. | I'm sweating | Cool it down | It's boiling in here,discomfort,"decreaseTemperature, turnOnAC",<TOOL>decreaseTemperature(ZONE)</TOOL>,"all, driver, passenger",middleware,NO,Immediate action. Execute tool in same turn.,When user expresses heat discomfort or requests temperature drop,When climate system is unavailable or user wants windows open at 85mph,"DriverTemp, AC, Fan, Speed","Short, supportive, immediate action",Lower fan speed if requested next,N/A (Immediate execution),"Sure, decreasing the temperature. <TOOL>decreaseTemperature(all)</TOOL>",N/A,Break the air vents | Turn on seat warmers,I am melting in here | It feels like a sauna | Lower the temp please
3,play_music_genre,Play Bollywood music. | Put on Adele | Play YOASOBI | Play lofi beats | Play classic rock,direct_command,playMusic,<TOOL>playMusic(GENRE_OR_SONG)</TOOL>,"ANY string (Genre, Artist, Song Title, Playlist, Mood, Language)",middleware,YES,Turn 1 asks which app (NO TOOL TAG). Turn 2 receives app/confirmation and executes tool tag.,Execute tool ONLY AFTER user specifies app or confirms player,DO NOT output tool tag in Turn 1 while asking which app to use,"Media, Speed, DriverMood","Upbeat, helpful, companionable",Prompt for preferred music app if multiple apps installed,"Sure, I can help with that. What music app would you like to use? (NO TOOL TAG)","User: Spotify -> AI: Playing music on Spotify. <TOOL>playMusic(""requested music"")</TOOL>","User: Never mind -> AI: Understood, keeping media as is.",Play a movie on the windshield screen while driving | Mute everything forever,Put on some upbeat workout tracks | Play classic 90s hits | Play Taylor Swift
4,mood_angry,I'm feeling angry. | I am so pissed off | This day is terrible,discomfort,"playMusic, setSeatMassager","<TOOL>playMusic(""calming music"")</TOOL>","ANY string (e.g. calming music, relaxation, acoustic)",middleware,YES,Turn 1 asks if user wants calming music (NO TOOL TAG). Turn 2 executes tool upon 'yes/sure'.,Execute tool ONLY AFTER driver confirms they want calming music,DO NOT output tool tag while asking if driver wants music,"DriverMood=Frustrated/Frowning, Speed","Calm, gentle, non-intrusive, deep-breathing prompt",Offer calming music or breathing exercise prompt,Take a deep breath. Do you want me to play some calming music? (NO TOOL TAG),"User: Yes please -> AI: Playing calming music for you. <TOOL>playMusic(""calming music"")</TOOL>",User: No thanks -> AI: Understood. Take your time and focus on the road.,Speed up the car to relieve stress | Argue back,I hate this driving situation | I am losing my temper
5,mood_tired,I'm tired. | I am yawning so much | Getting sleepy behind the wheel,discomfort,"searchPlaces, handleDrowsyDriving","<TOOL>searchPlaces(""coffee shop"")</TOOL>","ANY place category (e.g. coffee shop, rest area, parking)",middleware,YES,Turn 1 asks what sounds best / offers coffee shop (NO TOOL TAG). Turn 2 executes search/nav tool.,Execute tool ONLY AFTER driver confirms coffee shop or rest area preference,DO NOT output tool tag while asking what sounds best,"DriverMood=Tired/Yawning, Speed","Proactive safety concern, reassuring co-pilot",Suggest nearest coffee shop or rest area navigation,I can find a coffee shop or a safe place to pull over and rest. What sounds best to you? (NO TOOL TAG),"User: Find a coffee shop -> AI: Finding nearby coffee shops now. <TOOL>searchPlaces(""coffee shop"")</TOOL>",User: I'll keep driving -> AI: Please stay vigilant and let me know if you need to pull over.,Tell driver to keep eyes closed for 5 minutes | Ignore tiredness,My eyelids are getting heavy | I really need a caffeine boost
6,mood_bored,I'm bored. | This long drive is boring | Entertain me,discomfort,"suggestTriviaGame, getNewsHighlights",<TOOL>suggestTriviaGame()</TOOL>,none,middleware,YES,"Turn 1 asks whether user wants joke, trivia, or story (NO TOOL TAG). Turn 2 executes tool chosen.",Execute tool ONLY AFTER driver selects option (e.g. trivia game),DO NOT output tool tag while asking what suits the driver,"Speed, DriverMood","Lighthearted, friendly, engaging","Offer trivia game, joke, or fun story","Would you like to hear a joke, play a trivia game, or listen to a story? What suits you? (NO TOOL TAG)",User: Let me try trivia -> AI: Starting trivia game! <TOOL>suggestTriviaGame()</TOOL>,"User: No thanks -> AI: All right, I'll be here if you change your mind.",Play video on head-up display | Ignore driver,Anything fun we can do while driving? | Tell me something interesting
7,stress_traffic,This traffic is annoying. | Stuck in jam | Gridlock is killing me,discomfort,suggestAlternateRoute,<TOOL>suggestAlternateRoute()</TOOL>,none,middleware,YES,Turn 1 asks where driver is heading (NO TOOL TAG). Turn 2 executes alternate route tool after destination provided.,Execute tool ONLY AFTER destination is provided or confirmed,DO NOT output tool tag when destination is unknown and asking 'Where are you up to?',"Speed, Location, Memory","Reassuring, calm, practical","Ask for destination if not set, or route around congestion",I can check for clearer routes if you tell me where you are heading. Where are you up to? (NO TOOL TAG),User: Tokyo -> AI: Found alternate route for Tokyo. <TOOL>suggestAlternateRoute()</TOOL>,"User: Nowhere -> AI: Understood, hang in there through the traffic.",Honk horn automatically | Drive off road,Why is traffic at a standstill? | Can we bypass this jam?
8,navigation_home,Take me home. | Drive me home | Route home,direct_command,startNavigationTo,"<TOOL>startNavigationTo(""Home"")</TOOL>",Home,middleware,NO,If home address set -> execute tool immediately. If unconfigured -> Turn 1 asks for info (NO TOOL TAG).,Execute tool when home address is set in system,DO NOT output tool tag if home address is unconfigured in Google account,"Location, Speed, AccountInfo","Direct, prompt, warm",Guide to add home address in personal info if missing,Home address is not set in account yet. What is the address you want to route to? (NO TOOL TAG),"User: 123 Main St -> AI: Routing to 123 Main St now. <TOOL>startNavigationTo(""123 Main St"")</TOOL>",User: Cancel -> AI: Navigation cancelled.,Delete home location | Navigate to random address,Let's head back home | Guide me home please
9,navigation_nearest_station,Find nearby station. | Where is the train station? | Locate station near me,question,searchPlaces,"<TOOL>searchPlaces(""train station"")</TOOL>","ANY transit search term (e.g. train station, subway, metro)",middleware,YES,Turn 1 searches places / asks choice (NO NAV TOOL TAG). Turn 2 navigates after user choice.,"Execute searchPlaces tag in Turn 1, then ask choice; execute startNavigationTo in Turn 2",DO NOT execute navigation tool tag until user selects a station,"Location, Speed","Helpful, structured",List options and ask which one to navigate to,"I found a few stations nearby. Would you like to hear options or find new ones? <TOOL>searchPlaces(""train station"")</TOOL>","User: The first one -> AI: Routing to Central Station now. <TOOL>startNavigationTo(""Central Station"")</TOOL>","User: Neither -> AI: All right, let me know if you want to search for something else.",Buy train tickets | Stop the car instantly,Is there a metro station close by? | Find nearest subway
10,navigation_parking,Find parking. | Where can I park? | Look for parking spot,question,"searchPlaces, prepareForParking","<TOOL>searchPlaces(""parking"")</TOOL>","ANY parking search term (e.g. parking, garage, lot)",middleware,YES,Turn 1 searches parking / asks option (NO NAV TAG). Turn 2 executes navigation after user picks spot.,Execute searchPlaces in Turn 1; execute startNavigationTo ONLY in Turn 2 after user picks garage,DO NOT output navigation tool tag while asking driver which parking option they prefer,"Location, Speed","Informative, concise",Offer options or auto-route to nearest open garage,"I found parking options nearby. Would you like to hear these or find new ones? <TOOL>searchPlaces(""parking"")</TOOL>","User: Second option -> AI: Navigating to City Center Garage. <TOOL>startNavigationTo(""City Center Garage"")</TOOL>",User: Never mind -> AI: Understood.,Park on highway lane | Disable handbrake,Where is an open parking garage? | Need a parking place
